sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Perchloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"hazardous!";"";"100";"25 – 77";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"possible hazard";"";"100";"77 – 500";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"75 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"perchloroethylene";"tetrachloroethene";"127-18-4";"C2Cl4";"halogenated aliphatics";"";"";"100";"25 – 275";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
