sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Vinyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"175 – 425";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"175 – 425";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"stress corrosion cracking";"100";"25 – 475";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"125 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Brass (>15Zn)";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Cast Iron, Gray/ Ductile";"vinyl chloride";"chloroethene";"1975-01-04";"C2H3Cl";"halogenated aliphatics";"";"100";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
