sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Pyridine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"192,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";"100";"212";"<2";"192";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"192,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"192,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"stress corrosion cracking";">5";"25 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"pyridine";"azine";"110-86-1";"C5H5N";"heterocyclic organics";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
