sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"0 – 225";"<2";"26,166,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"0 – 212";"<2";"26,166";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"0 – 225";"<2";"26,166,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"0 – 225";"<2";"26,166,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"pitting";"<1";"25 – 75";">50";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"calcium hydroxide";"1305-62-0";"CaH2O2";"hydroxides";"";"<1";"25 – 225";"<2";"26,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
