sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cesium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Aluminum Alloy (3003/ 5154)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 15";"25 – 75";">50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"stress corrosion cracking";"5 – 15";"25 – 75";"20 – 50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"55 – 65";"175 – 225";"20 – 50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Gold/ Platinum";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 15";"25 – 225";"<2";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Lead";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 15";"25 – 75";">50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Nickel (200)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 45";"25 – 225";"<20";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Nickel-Copper (400)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 35";"25 – 225";"<20";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Nickel-Copper (400)";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 45";"175 – 225";"<20";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Silver";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 55";"25 – 225";"<20";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Steels, Carbon/ Low Alloy";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"5 – 15";"25 – 75";"20 – 50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Steels, Carbon/ Low Alloy";"cesium hydroxide";"21351-79-1";"CsHO";"hydroxides";"";"55 – 65";"175 – 225";">50";"31,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
