sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Arsenic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 35";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 85";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 75";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"75 – 85";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 75";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"75 – 85";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 30-44-5-3W (G-30)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Aluminum Alloy (3003/ 5154)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 35";"75 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"5 – 45";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"65 – 85";"25 – 75";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"85 – 95";"175 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"arsenic acid";"orthoarsenic acid";"7778-39-4";"AsH3O4";"inorganic acids";"100";"25 – 125";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
