sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Boric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"boric acid";"inorganic acids";"4";"0 – 212";"<2";"21,132,164,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,164,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"boric acid";"inorganic acids";"10";"0 – 212";"<2";"21,132,164,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"boric acid";"inorganic acids";"4";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"boric acid";"inorganic acids";"10";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"boric acid";"inorganic acids";"4";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"boric acid";"inorganic acids";"10";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"boric acid";"inorganic acids";"4";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"boric acid";"inorganic acids";"10";"0 – 212";"<2";"21,132,164";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"boric acid";"inorganic acids";"5 – 10";"25 – 140";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"boric acid";"inorganic acids";"5 – 10";"175 – 225";">50";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"boric acid";"inorganic acids";"5 – 10";"25 – 325";"<2";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"boric acid";"inorganic acids";"5 – 10";"25 – 225";"<20";"21,132,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
