sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorosulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"";"0 – 68";"<2";"37,169,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"10";"0 – 77";"20 – 50";"37,169,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";"<20";"37,169,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"0 – 77";"<2";"37,169,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"77 – 125";"<20";"37,169,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";">85";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 125";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";">85";"25 – 75";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"100";"25 – 125";"<20";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"chlorosulfonic acid";"chlorosulfuric acid";"7790-94-5";"ClHO3S";"inorganic acids";"";"85 – 95";"25 – 75";">50";"37,207,210,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
