sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Fluosilicic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"pitting";"1";"0 – 140";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"1";"140 – 149";"20 – 50";"data from 0 to 149F (-18 to 65C) is 1%, 5% at 50°C (122°F) is 20-50 mpy";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"5 – 20";"86 – 95";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"5 – 25";"25 – 86";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"10";"0 – 95";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"10";"95 – 104";"20 – 50";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"20";"0 – 68";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"20";"86 – 140";"20 – 50";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-4Mo (904L)";"fluosilicic acid";"inorganic acids";"";"30";"68";"20 – 50";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"1";"0 – 158";"<2";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"1";"158 – 167";"<20";"also 5% at 70°C (158°F)";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"5";"158";"<20";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"10";"0 – 104";"<2";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"10";"104 – 113";"20 – 50";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"20";"0 – 86";"<2";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"20";"140";"20 – 50";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"30";"0 – 68";"<2";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"30";"68 – 86";"<20";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy 20-25-6Mo (254SMO/ 6XN)";"fluosilicic acid";"inorganic acids";"";"30";"86 – 104";"20 – 50";"";"52,130,174";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"fluosilicic acid";"inorganic acids";"";"5 – 15";"25 – 125";"<2";"";"52,130,174,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
