sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Hydrocyanic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"68";"<2";"";"179";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"68";"<2";"";"179";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"68";"<2";"";"179";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"68";"<2";"";"179";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"5 – 15";"25 – 500";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 500";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"stress corrosion cracking; intergranular attack";"5 – 15";"25 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"85 – 95";"25 – 225";">50";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"25 – 75";"<2";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"hydrocyanic acid";"hydrogen cyanide";"74-90-8";"CHN";"inorganic acids";"";"";"100";"75 – 225";"<20";"";"219";"";"";"";"";"";"";"";"";"";"";"";""
