sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sulfurous acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"225 – 275";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 175";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 75";">50";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Gold/ Platinum";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Lead";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<2";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"sulfurous acid";"7782-99-2";"H2O3S";"inorganic acids";"5 – 10";"25 – 225";"<20";"105,117,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
