sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 140";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"140 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"15 – 20";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 140";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"140 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 140";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"140 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Brass (>15Zn)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"125 – 175";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper/ Bronze/ Low Brass";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"125 – 175";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper-Nickel";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"125 – 175";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (12Cr)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cr Stainless Steel (17Cr)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"25 – 140";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Cr Stainless Steel (17Cr)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"140 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Duplex Stainless Steel (25-6-3)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"<10";"0 – 212";"<2";"163,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"15 – 20";"75 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Lead";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"15 – 20";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel (200)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel (200)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"15 – 20";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Ni-Cr-Fe Alloy (600/ 690)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Ni-Mo Alloy (Ni-30Mo; B-2)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 75";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"175 – 225";">50";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 20";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Tantalum";"barium nitrate";"nitrobarite";"10022-31-8";"BaN2O6";"salts";"5 – 15";"25 – 175";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
