sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Calcium nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<60";"0 – 212";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"0 – 298";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<60";"0 – 212";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"0 – 298";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<60";"0 – 212";"<2";"167,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"0 – 298";"<2";"167,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<60";"0 – 212";"<2";"167,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"0 – 298";"<2";"167,216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<50";"0 – 104";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"104 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 45";"175 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 45";"175 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 45";"175 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Brass (>15Zn)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cast Iron, Gray/ Ductile";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"stress corrosion cracking";"5 – 15";"25 – 75";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cast Iron, Gray/ Ductile";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"25 – 35";"25 – 125";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Copper/ Bronze/ Low Brass";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper-Nickel";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"stress corrosion cracking";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 45";"175 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (17Cr)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 45";"175 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Duplex Stainless Steel (25-6-3)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"<60";"0 – 212";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Duplex Stainless Steel (25-6-3)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"0 – 298";"<2";"167,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 25";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Gold/ Platinum";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"calcium nitrate";"10124-37-5";"CaN2O6";"salts";"";"5 – 15";"25 – 75";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
