sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Silver nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"68 – 230";"<2";"193,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"68 – 230";"<2";"193,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"25 – 230";"<2";"193,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"25 – 230";"<2";"193,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 70";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 70";"25 – 75";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 70";"75 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Cr Stainless Steel (12Cr)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 70";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Cr Stainless Steel (17Cr)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 70";"25 – 225";"<20";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Duplex Stainless Steel (25-6-3)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"68 – 230";"<2";"193,216";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel (200)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 15";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Nickel-Copper (400)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Niobium (Columbium)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"<70";"0 – 212";"<2";"216,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Silicon Cast Iron (14Si)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"52 – 237";"<2";"216,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Silicon Cast Iron (14Si)";"silver nitrate";"7761-88-8";"AgNO3";"salts";"65 – 70";"187 – 237";"<2";"216,218,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Steels, Carbon/ Low Alloy";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 65";"25 – 75";">50";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Tantalum";"silver nitrate";"7761-88-8";"AgNO3";"salts";"45 – 55";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Titanium, Unalloyed";"silver nitrate";"7761-88-8";"AgNO3";"salts";"1 – 70";"25 – 230";"<2";"193,216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Zirconium";"silver nitrate";"7761-88-8";"AgNO3";"salts";"5 – 15";"25 – 75";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
