sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium nitrite";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"1 – 50";"212 – 266";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 225";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"1 – 50";"212 – 266";"<2";"";"90,197";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"1 – 50";"212 – 266";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 225";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"1 – 50";"212 – 266";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 225";"<2";"";"90,197,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 45";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"45 – 50";"175 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"sodium nitrite";"7632-00-0";"NNaO2";"salts";"5 – 50";"25 – 225";"<2";"";"90,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
