sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetonitrile";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"5 – 15";"25 – 180";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"85 – 95";"125 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Brass (>15Zn)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"85 – 95";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cast Iron, Gray/ Ductile";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper/ Bronze/ Low Brass";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"85 – 95";"125 – 275";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Copper/ Bronze/ Low Brass";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";">85";"25 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Copper-Nickel";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cr Stainless Steel (12Cr)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cr Stainless Steel (17Cr)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Lead";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 325";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Nickel (200)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Nickel Cast Iron (15-35Ni)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Nickel-Copper (400)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Silicon Cast Iron (14Si)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"52 – 147";"<2";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Steels, Carbon/ Low Alloy";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"5 – 35";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Steels, Carbon/ Low Alloy";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"75 – 85";"125 – 175";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Steels, Carbon/ Low Alloy";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";">85";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Superferritic Stainless Steel (26-1)";"acetonitrile";"methyl cyanide";"1975-05-08";"C2H3N";"nitriles";"";"100";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
