sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 230";"<2";"";"2,140,156,208,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 230";"<2";"";"2,140,156,208,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 230";"<2";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"25 – 35";"230 – 325";"<20";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"230 – 275";"<20";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"275 – 325";">50";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"any";"0 – 230";"<2";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"25 – 35";"230 – 325";"<20";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"230 – 275";"<20";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"275 – 325";">50";"";"2,140,156,208,219,221";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 95";"75 – 175";"<20";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">5";"175 – 225";">50";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"100";"25 – 175";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";"5 – 55";"75 – 225";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetic acid";"ethanoic acid";"64-19-7";"C2H4O2";"organic (weak) acids";"";">5";"25 – 75";"<2";"";"2,140,208,219";"";"";"";"";"";"";"";"";"";"";"";"";""
