sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetoacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";">5";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cast Iron, Gray/ Ductile";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";"15 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cast Iron, Gray/ Ductile";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"";"100";"25 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper/ Bronze/ Low Brass";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Copper-Nickel";"acetoacetic acid";"541-50-4";"C4H6O3";"organic (weak) acids";"severe corrosion with oxygen ingress";"";"0";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
