sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chaulmoogric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"pitting";"100";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"pitting";"100";"154 – 500";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper/ Bronze/ Low Brass";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (12Cr)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Gold/ Platinum";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel (200)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel (200)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Nickel-Copper (400)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Nickel-Copper (400)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"175 – 225";"20 – 50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Ni-Cr-Fe Alloy (600/ 690)";"chaulmoogric acid";"2-cyclopentene-1-tridecanoic acid";"29106-32-9";"C18H32O2";"organic (weak) acids";"";"100";"154 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
