sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chloroacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"0 – 104";"<2";"35,169,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"104 – 122";"20 – 50";"35,169,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"0 – 122";"<2";"35,169,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-6Mo (254SMO/ 6XN)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"122 – 140";"<20";"35,169,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-6Mo (254SMO/ 6XN)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"140 – 176";">50";"35,169,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 15";"25 – 75";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"45 – 55";"175 – 225";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"65 – 75";"75 – 175";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 75";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 15";"25 – 75";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"45 – 55";"175 – 225";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 30-44-5-3W (G-30)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"65 – 75";"75 – 175";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 30-44-5-3W (G-30)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 75";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Aluminum Alloy (3003/ 5154)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">5";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"pitting";">5";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"pitting";"5 – 80";"25 – 75";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"0 – 104";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"80";"176";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"225 – 275";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Brass (>15Zn)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 45";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Brass (>15Zn)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">65";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Brass (>15Zn)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"85 – 95";"225 – 325";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cast Iron, Gray/ Ductile";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">15";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cast Iron, Gray/ Ductile";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"85 – 95";"175 – 225";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Copper/ Bronze/ Low Brass";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 45";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Copper/ Bronze/ Low Brass";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">65";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Copper/ Bronze/ Low Brass";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"85 – 95";"225 – 325";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Cr Stainless Steel (12Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"15 – 25";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Cr Stainless Steel (12Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"35 – 45";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Cr Stainless Steel (12Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"55 – 65";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Cr Stainless Steel (12Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"75 – 85";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Cr Stainless Steel (12Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Cr Stainless Steel (17Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"25 – 35";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Cr Stainless Steel (17Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"45 – 55";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Cr Stainless Steel (17Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"65 – 75";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Cr Stainless Steel (17Cr)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 75";">50";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Gold/ Platinum";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">5";"175 – 225";"<2";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Lead";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";">5";"25 – 75";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Lead";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"85 – 95";"175 – 225";">50";"35,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 85";"25 – 225";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 175";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"175 – 275";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"375 – 425";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 85";"25 – 225";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 175";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"175 – 275";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"375 – 425";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"5 – 85";"25 – 225";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"25 – 175";"<2";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chloroacetic acid";"1979-11-08";"C2H3ClO2";"organic (weak) acids";"";"100";"175 – 275";"<20";"35,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
