sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Citric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 55";"25 – 125";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 55";"25 – 225";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 55";"25 – 225";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"<60";"0 – 104";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"104 – 225";"20 – 50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"10";"0 – 212";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"15 – 55";"105 – 175";"<20";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25";"104";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25";"185";"20 – 50";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25";"221";">50";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25 – 55";"185 – 225";">50";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"50";"0 – 104";"<2";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"50";"212 – 230";">50";"39,135,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 15";"275 – 325";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"pitting";"5 – 55";"25 – 225";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"10";"0 – 212";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"25";"104 – 221";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"50";"0 – 230";"<2";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"55 – 60";"125 – 225";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Brass (>15Zn)";"citric acid";"2-hydroxy-1,2,3-propanetricarboxylic acid";"77-92-9";"C6H8O7";"organic (weak) acids";"";"5 – 60";"25 – 75";">50";"39,135,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
