sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Lactic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"<5";"167 – 216";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 35";"25 – 200";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 35";"200 – 225";"<2";"boiling point is 102°C (216°F)";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"45 – 55";"25 – 225";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"75";"225 – 230";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"75 – 95";"25 – 225";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"80";"225 – 243";"<2";"up to boiling point";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"90";"225 – 261";"<2";"up to boiling point";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"<30";"167 – 216";"<2";"up to boiling point";"181,208";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"50";"158 – 219";"<2";"";"181,208";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"75";"212 – 230";"<2";"";"181,208";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"80";"212 – 243";"<2";"up to boiling point";"181,208";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-25-6Mo (254SMO/ 6XN)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"90";"212 – 261";"<2";"up to boiling point";"181,208";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"<5";"167 – 216";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";"5 – 30";"200 – 225";"<2";"boiling point is 102°C (216°F)";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"lactic acid";"10326-41-7 [50-21-5]";"C3H6O3";"organic (weak) acids";"";">5";"25 – 225";"<2";"";"181,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
