sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methacrylic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 125";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Cast Iron, Gray/ Ductile";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Nickel Cast Iron (15-35Ni)";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Silicon Cast Iron (14Si)";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Steels, Carbon/ Low Alloy";"methacrylic acid";"2-methylpropenoic acid";"79-41-4";"C4H6O2";"organic (weak) acids";"100";"60 – 75";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
