sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methylsulfuric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<2";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<2";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<2";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<2";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<2";"207,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Brass (>15Zn)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper/ Bronze/ Low Brass";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper-Nickel";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Nickel (200)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel-Copper (400)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Ni-Cr-Fe Alloy (600/ 690)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Silicon Cast Iron (14Si)";"methylsulfuric acid";"organic (weak) acids";"100";"52 – 100";"<20";"207,215,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Silicon Cast Iron (14Si)";"methylsulfuric acid";"organic (weak) acids";"100";"100 – 237";"<2";"207,215,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Steels, Carbon/ Low Alloy";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Superferritic Stainless Steel (26-1)";"methylsulfuric acid";"organic (weak) acids";"100";"25 – 75";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
