sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Naphthalic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"pitting; stress corrosion cracking; intergranular attack";"100";"280 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"intergranular attack";"100";"280 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Brass (>15Zn)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"425 – 475";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 425";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"425 – 475";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cr Stainless Steel (12Cr)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (17Cr)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 375";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Cr Stainless Steel (17Cr)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"375 – 425";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel Cast Iron (15-35Ni)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 425";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Steels, Carbon/ Low Alloy";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 475";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Superferritic Stainless Steel (26-1)";"naphthalic acid";"1,8-naphthalenedicarboxylic acid";"518-05-8";"C12H8O4";"organic (weak) acids";"";"100";"280 – 425";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
