sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenylacetic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 475";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Aluminum Alloy (3003/ 5154)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"169 – 225";"<2";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"100";"425 – 475";">50";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";"85 – 95";"25 – 169";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"phenylacetic acid";"benzeneacetic acid";"103-82-2";"C8H8O2";"organic (weak) acids";"";">85";"169 – 225";"<20";"208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";""
