sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Tartaric acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"1 – 35";"25 – 225";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"35 – 45";"195 – 225";"<20";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"35 – 55";"25 – 195";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"50";"223";"20 – 50";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"55 – 60";"25 – 180";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"55 – 60";"180 – 225";"<20";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"60 – 70";"212 – 237";"20 – 50";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 20-25-4Mo (904L)";"tartaric acid";"organic (weak) acids";"";"100";"375 – 425";"<20";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 20-25-6Mo (254SMO/ 6XN)";"tartaric acid";"organic (weak) acids";"";"1 – 55";"25 – 225";"<2";"";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 20-25-6Mo (254SMO/ 6XN)";"tartaric acid";"organic (weak) acids";"";"30";"216";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 20-25-6Mo (254SMO/ 6XN)";"tartaric acid";"organic (weak) acids";"";"50";"223";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Alloy 20-25-6Mo (254SMO/ 6XN)";"tartaric acid";"organic (weak) acids";"";"70";"237";"<2";"boiling point";"107,119,203,208";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"tartaric acid";"organic (weak) acids";"";"5 – 65";"25 – 225";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"tartaric acid";"organic (weak) acids";"";"30";"216";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"tartaric acid";"organic (weak) acids";"";"50";"223";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"tartaric acid";"organic (weak) acids";"";"65 – 75";"175 – 275";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"tartaric acid";"organic (weak) acids";"";"70";"237";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Alloy 30-44-5-3W (G-30)";"tartaric acid";"organic (weak) acids";"";"5 – 65";"25 – 225";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Alloy 30-44-5-3W (G-30)";"tartaric acid";"organic (weak) acids";"";"30";"216";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Alloy 30-44-5-3W (G-30)";"tartaric acid";"organic (weak) acids";"";"50";"223";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Alloy 30-44-5-3W (G-30)";"tartaric acid";"organic (weak) acids";"";"65 – 75";"175 – 275";"<2";"";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Alloy 30-44-5-3W (G-30)";"tartaric acid";"organic (weak) acids";"";"70";"237";"<2";"boiling point";"107,119,203,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Aluminum Alloy (3003/ 5154)";"tartaric acid";"organic (weak) acids";"";"5 – 25";"25 – 75";"<2";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Aluminum Alloy (3003/ 5154)";"tartaric acid";"organic (weak) acids";"";"5 – 25";"75 – 225";"20 – 50";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Aluminum Alloy (3003/ 5154)";"tartaric acid";"organic (weak) acids";"";"25 – 55";"25 – 75";"<20";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Aluminum Alloy (3003/ 5154)";"tartaric acid";"organic (weak) acids";"";"25 – 55";"75 – 125";">50";"";"107,119,208,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"5 – 15";"25 – 225";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"tartaric acid";"organic (weak) acids";"";"5 – 55";"25 – 75";"<20";"";"107,119,208,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
