sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum diformate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"aluminum diformate";"organic acid salts";"";"5 – 35";"25 – 75";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"";"0";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"100";"25 – 75";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"100";"275 – 325";">50";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"";"0";"<2";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (12Cr)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cr Stainless Steel (17Cr)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Cr Stainless Steel (17Cr)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Lead";"aluminum diformate";"organic acid salts";"";"100";"25 – 75";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"aluminum diformate";"organic acid salts";"";"100";"275 – 325";">50";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Nickel (200)";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Nickel (200)";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"100";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel-Copper (400)";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"5 – 15";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel-Copper (400)";"aluminum diformate";"organic acid salts";"severe corrosion with oxygen ingress";"100";"25 – 225";"<20";"209,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Ni-Cr-Fe Alloy (600/ 690)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Ni-Cr-Fe Alloy (600/ 690)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Ni-Mo Alloy (Ni-30Mo; B-2)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Silicon Cast Iron (14Si)";"aluminum diformate";"organic acid salts";"";"5 – 15";"52 – 237";"<20";"209,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Silicon Cast Iron (14Si)";"aluminum diformate";"organic acid salts";"";"100";"52 – 237";"<2";"209,218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Silver";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Silver";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Steels, Carbon/ Low Alloy";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 75";"20 – 50";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Steels, Carbon/ Low Alloy";"aluminum diformate";"organic acid salts";"";"100";"25 – 75";">50";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Superferritic Stainless Steel (26-1)";"aluminum diformate";"organic acid salts";"";"5 – 15";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Superferritic Stainless Steel (26-1)";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<20";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Tantalum";"aluminum diformate";"organic acid salts";"";"100";"25 – 225";"<2";"209,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
