sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium persulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"any";"68 – 158";"<2";"161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"any";"68 – 158";"<2";"161";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"any";"25 – 158";"<2";"161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"158 – 225";"<20";"161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"any";"25 – 158";"<2";"161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 35";"158 – 225";"<20";"161,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 15";"25 – 75";"20 – 50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"25 – 35";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"1 – 80";"0 – 158";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium persulfate";"ammonium peroxydisulfate";"7727-54-0";"H8N2O8S2";"oxidizing agents";"5 – 65";"160 – 175";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
