sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Amyl nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Cast Iron, Gray/ Ductile";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Cr Stainless Steel (12Cr)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Cr Stainless Steel (17Cr)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Gold/ Platinum";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Nickel Cast Iron (15-35Ni)";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Steels, Carbon/ Low Alloy";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<20";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Tantalum";"amyl nitrate";"oxidizing agents";"100";"25 – 225";"<2";"216,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
