sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorine dioxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"125 – 175";"20 – 50";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"125 – 175";"20 – 50";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"pitting";"5 – 15";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";">50";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"pitting";"5 – 15";"25 – 75";"<20";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";">50";"34,128,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Copper/ Bronze/ Low Brass";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper-Nickel";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Lead";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"20 – 50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 125";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Nickel (200)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Nickel (200)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"100";"25 – 75";"<20";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Nickel-Copper (400)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Ni-Cr-Fe Alloy (600/ 690)";"chlorine dioxide";"10049-04-4";"ClO2";"oxidizing agents";"";"5 – 15";"25 – 75";">50";"34,128,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
