sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Potassium phosphate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 30-44-5-3W (G-30)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Aluminum Alloy (3003/ 5154)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Brass (>15Zn)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Copper/ Bronze/ Low Brass";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Copper-Nickel";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Lead";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Nickel (200)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Nickel-Copper (400)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Ni-Cr-Fe Alloy (600/ 690)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Ni-Mo Alloy (Ni-30Mo; B-2)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Silicon Cast Iron (14Si)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"52 – 237";"<20";"218";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Silver";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Steels, Carbon/ Low Alloy";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Superferritic Stainless Steel (26-1)";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 35";"25 – 225";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Titanium, Unalloyed";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 175";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Titanium, Unalloyed";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"175 – 225";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Zirconium";"potassium phosphate";"7778-53-2";"K3O4P";"salts";"5 – 15";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
