sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Trichloroethylene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,204,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"189";"<2";"boiling point";"108,204";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"189";"<2";"boiling point";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"189";"<2";"boiling point";"108,204,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"hazardous!";"100";"25 – 125";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"possible hazard";"100";"125 – 225";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 175";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"175 – 225";">50";"condensate - from -4 to 107°C (25 to 225°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Brass (>15Zn)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 75";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Cast Iron, Gray/ Ductile";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 175";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Copper/ Bronze/ Low Brass";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 75";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"125 – 175";"<20";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";"20 – 50";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Cr Stainless Steel (12Cr)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<20";"";"108,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Cr Stainless Steel (17Cr)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<20";"";"108,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Duplex Stainless Steel (25-6-3)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"189";"<2";"boiling point";"108,204";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Lead";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 75";">50";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"225 – 275";">50";"condensate - from 79.5-135°C (175-275°F) rate is >50 mpy";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"trichloroethylene";"trichloroethene";"1979-01-06";"C2HCl3";"solvents";"";"100";"25 – 225";"<2";"";"108,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
