sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Aluminum potassium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"<25";"0 – 225";"<2";"";"158,215,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"375 – 425";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 25";"125 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"25 – 30";"75 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"375 – 425";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 25";"125 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"25 – 30";"75 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Aluminum Alloy (3003/ 5154)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Aluminum Alloy (3003/ 5154)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"75 – 225";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"75 – 175";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 25";"25 – 75";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 75";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"75 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 25";"175 – 225";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Brass (>15Zn)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 75";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Cast Iron, Gray/ Ductile";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 75";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Copper/ Bronze/ Low Brass";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Cr Stainless Steel (12Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Cr Stainless Steel (12Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"175 – 225";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Cr Stainless Steel (12Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 30";"25 – 75";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Cr Stainless Steel (17Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"pitting";"5 – 15";"25 – 75";"20 – 50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Cr Stainless Steel (17Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"175 – 225";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Cr Stainless Steel (17Cr)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"15 – 30";"25 – 75";">50";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Gold/ Platinum";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Lead";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"225 – 425";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Lead";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 25";"25 – 225";"<2";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Lead";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"25 – 30";"125 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 30";"25 – 175";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Nickel (200)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"25 – 75";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Nickel (200)";"aluminum potassium sulfate";"potassium aluminum sulfate";"10043-67-1";"AlKO8S2";"salts";"";"5 – 15";"175 – 225";"<20";"";"215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
