sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Cadmium sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 30-44-5-3W (G-30)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 30-44-5-3W (G-30)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 125";"<20";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Aluminum Alloy (3003/ 5154)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"125 – 175";">50";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"25 – 225";"<2";"24,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"45 – 50";"175 – 225";"<2";"24,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Brass (>15Zn)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<20";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Cast Iron, Gray/ Ductile";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 35";"25 – 225";"<20";"24,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Copper/ Bronze/ Low Brass";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<20";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper-Nickel";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<20";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Gold/ Platinum";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 175";"<2";"24,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Lead";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 35";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"175 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Nickel (200)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"5 – 15";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Nickel-Copper (400)";"cadmium sulfate";"10124-36-4";"CdO4S";"salts";"25 – 35";"25 – 225";"<2";"24,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
