sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferric sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"0 – 225";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"10";"0 – 212";"<2";"48,136,181,207";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"0 – 225";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"0 – 225";"<2";"48,136,181,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"intergranular attack";"5 – 15";"0 – 212";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"212 – 225";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"100";"25 – 75";"<20";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"0 – 225";"<2";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Brass (>15Zn)";"ferric sulfate";"iron sulfate";"10028-22-5";"Fe2O12S3";"salts";"";"5 – 15";"25 – 75";">50";"48,136,207,219";"";"";"";"";"";"";"";"";"";"";"";"";"";""
