sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ferrous sulfate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 75";"<2";"50,181,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-4Mo (904L)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"125 – 225";"<2";"50,181,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"10";"68";"<2";"50,181,215";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"70 – 225";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"10";"68";"<2";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"25 – 70";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"100";"25 – 225";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"70 – 225";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"10";"68";"<2";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"25 – 70";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"100";"25 – 225";"<20";"50,181,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 75";"<2";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"175 – 225";">50";"50,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 10";"25 – 68";"<2";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"175 – 225";"20 – 50";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 25";"70 – 175";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"10 – 25";"25 – 175";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"25 – 176";"<2";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"5 – 15";"176 – 225";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ferrous sulfate";"iron sulfate";"7720-78-7";"FeO4S";"salts";"15 – 25";"25 – 75";"<20";"50,215,219,220";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
