sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Chlorotoluene sulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 30-44-5-3W (G-30)";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Aluminum Alloy (3003/ 5154)";"chlorotoluene sulfonic acid";"surfactants & detergents";">85";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Cast Iron, Gray/ Ductile";"chlorotoluene sulfonic acid";"surfactants & detergents";"5 – 95";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Cast Iron, Gray/ Ductile";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 125";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Copper/ Bronze/ Low Brass";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Copper-Nickel";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Gold/ Platinum";"chlorotoluene sulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Lead";"chlorotoluene sulfonic acid";"surfactants & detergents";">5";"25 – 75";">50";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"chlorotoluene sulfonic acid";"surfactants & detergents";">5";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"chlorotoluene sulfonic acid";"surfactants & detergents";">5";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"chlorotoluene sulfonic acid";"surfactants & detergents";">5";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"chlorotoluene sulfonic acid";"surfactants & detergents";">5";"25 – 225";"<20";"207,215,219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
