sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Phenol-2,4-disulfonic acid";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"phenol-2,4-disulfonic acid";"surfactants & detergents";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Alloy 30-44-5-3W (G-30)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Alloy 30-44-5-3W (G-30)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Alloy 30-44-5-3W (G-30)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Alloy 30-44-5-3W (G-30)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Alloy 30-44-5-3W (G-30)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Aluminum Alloy (3003/ 5154)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"15 – 25";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Aluminum Alloy (3003/ 5154)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"15 – 95";"75 – 125";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"phenol-2,4-disulfonic acid";"surfactants & detergents";">5";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"phenol-2,4-disulfonic acid";"surfactants & detergents";">5";"25 – 75";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Copper/ Bronze/ Low Brass";"phenol-2,4-disulfonic acid";"surfactants & detergents";">5";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Copper-Nickel";"phenol-2,4-disulfonic acid";"surfactants & detergents";">5";"25 – 75";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"18";"Gold/ Platinum";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"19";"Gold/ Platinum";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"20";"Gold/ Platinum";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"21";"Gold/ Platinum";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"22";"Gold/ Platinum";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"23";"Lead";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"24";"Lead";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"25";"Lead";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"26";"Lead";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"27";"Lead";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"28";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"29";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"30";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"31";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"32";"Mo Superalloy (Ni-Cr-Fe-9Mo; 625/ 725)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"33";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"34";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"35";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"36";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"37";"Mo Superalloy (Ni-16Cr-16Mo; C276)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"38";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"39";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"40";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"41";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"42";"Mo Superalloy (Ni-20Cr-16Mo-4W; 686)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"43";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"44";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"45";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"46";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"75 – 85";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"47";"Mo Superalloy (Ni-22Cr-16Mo; C22/ 59)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"100";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"48";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"5 – 25";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"49";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"35 – 45";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"50";"Mo Superalloy (Ni-23Cr-16Mo-1Cu; C20000)";"phenol-2,4-disulfonic acid";"surfactants & detergents";"55 – 65";"25 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
