sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium thiocyanate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"warnings";"resistance note";"conc. (%)";"temp. (°F)";"corrosion rate (mil/yr)";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Alloy 20-25-4Mo (904L)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"<60";"0 – 212";"<2";"162,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Alloy 20-25-6Mo (254SMO/ 6XN)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"<60";"0 – 212";"<2";"162";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Alloy 20-38-3-3Cu (20Cb3/ 825)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"<60";"0 – 212";"<2";"162,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Alloy 30-44-5-3W (G-30)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"<60";"0 – 212";"<2";"162,219";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Aluminum Alloy (3003/ 5154)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"<50";"77";"<2";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Aluminum Alloy (3003/ 5154)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 65";"100 – 175";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Aluminum Alloy (3003/ 5154)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 85";"175 – 225";"<20";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 45";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"pitting";"5 – 55";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Austenitic Cr-Ni Stainless Steel (18-8; 304/ 304L/ 347)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"45 – 55";"125 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 45";"125 – 225";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 55";"25 – 125";"<2";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Austenitic Cr-Ni-Mo Stainless Steel (17-12-3; 316L/ 317L)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"45 – 55";"125 – 225";"<20";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Brass (>15Zn)";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"severe corrosion with oxygen ingress";"";"5 – 55";"25 – 75";">50";"219,220";"";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Cast Iron, Gray/ Ductile";"ammonium thiocyanate";"ammonium rhodanide";"1762-95-4";"CH4N2S";"salts";"";"";"5 – 15";"125 – 175";">50";"219";"";"";"";"";"";"";"";"";"";"";"";"";""
