sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"10 – 20";"60 – 70";"";"~7pH; ";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Epoxy Cements";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"5";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Epoxy Cements";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"5";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Epoxy Resin, Glass Fiber- Reinforced";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"10";"70 – 212";"";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluororubber";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"3";"not recommended";"10 – 20";"60 – 70";"";"~7pH; ";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"10 – 20";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Glass, Chemical";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"including slurries";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyethylene (PE)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";">10";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polymethyl Methacrylate (PMMA)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polymethyl Methacrylate (PMMA)";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";"30 – 40";"70 – 212";"";"slurries";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Wood";"copper acetate";"cuprous acetate";"598-54-9";"C2H3CuO2";"salts";"1";"recommended";">10";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
