sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Sodium acetate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"2";"questionable; weight gain";"<3";"100 – 125";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"any";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Concrete";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"10 – 60";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Cements";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"55";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"55";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";">10";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"sodium acetate";"saturated";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"100";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"sodium acetate";"";"127-09-3";"C2H3NaO2";"salts";"1";"recommended";"any";"250 – 400";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
