sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Acetyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"3";"not recommended";"100";"130";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"2";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended";"100";"250 – 300";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"3";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended";"10";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Phenolic Resins, Asbestos-Reinforced";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended; Haveg 4120 recommended to 27°C (81°F)";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyethylene (PE)";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"3";"not recommended";"100";"70 – 125";"";"low to moderate plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended";"100";"125";"";"";"6";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinylidene Fluoride (PVDF)";"Kynar";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"1";"recommended";"100";"70 – 125";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyvinylidene Fluoride (PVDF)";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"2";"questionable";"100";"125 – 150";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"";"acetyl chloride";"ethanoyl chloride";"75-36-5";"C2H3ClO";"acid halides";"3";"not recommended";"100";"150 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
