sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Allyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"100";"70 – 150";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Fluororubber";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polychloroprene";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyethylene (PE)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended; may stress crack";"100";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyvinyl Chloride (PVC)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polyvinylidene Chloride (PVDC)";"Saran brand resin";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"100";"75";"";"6";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Rubber, Butyl (BR)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"2";"questionable";"96";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Rubber, Natural (NR)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"1";"recommended";"96";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Rubber, Natural (NR)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"150 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Styrene Acrylonitrile Copolymer (SAN)";"";"allyl alcohol";"2-propen-1-ol";"107-18-6";"C3H6O";"alcohols";"3";"not recommended";"96";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
