sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butyl alcohol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended; weight loss";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";">10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"10";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"1";"recommended";"100";"70 – 120";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"butyl alcohol";"1-butanol";"71-36-3";"C4H10O";"alcohols";"2";"questionable";"100";"120 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
