sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethylene glycol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"51";"Polyvinylidene Chloride (PVDC)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";"80";"175";"";"";"6";"";"";"";"";"";"";"";"";"";""
"52";"Polyvinylidene Chloride (PVDC)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";"100";"175";"";"";"6";"";"";"";"";"";"";"";"";"";""
"53";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";""
"54";"Rubber, Butyl (BR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";">10";"70 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"55";"Rubber, Butyl (BR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"2";"questionable";">10";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"56";"Rubber, Natural (NR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"57";"Rubber, Natural (NR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"58";"Rubber, Natural (NR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"3";"not recommended";"100";"150 – 195";"";"";"1";"";"";"";"";"";"";"";"";"";""
"59";"Rubber, Natural (NR)";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"3";"not recommended; weight gain ";"100";"195 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"60";"Styrene Acrylonitrile Copolymer (SAN)";"";"ethylene glycol";"1,2-ethanediol";"triethylene";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"61";"Vinyl Ester Resins";"";"ethylene glycol";"1,2-ethanediol";"";"107-21-1";"C2H6O2";"alcohols";"1";"recommended";">10";"70 – 210";"";"";"7";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
