sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Pyrogallol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Cellulose Acetate";"pyrogallol";"1,2,3-benzenetriol";"87-66-1";"C6H6O3";"alcohols";"3";"not recommended; ";"4";"60 – 70";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"pyrogallol";"1,2,3-benzenetriol";"87-66-1";"C6H6O3";"alcohols";"3";"not recommended; discolored, weight gain";"<4";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyvinyl Chloride (PVC)";"pyrogallol";"1,2,3-benzenetriol";"87-66-1";"C6H6O3";"alcohols";"1";"recommended";"100";"70 – 80";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyvinyl Chloride (PVC)";"pyrogallol";"1,2,3-benzenetriol";"87-66-1";"C6H6O3";"alcohols";"3";"not recommended";"100";"80 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyvinylidene Fluoride (PVDF)";"pyrogallol";"1,2,3-benzenetriol";"87-66-1";"C6H6O3";"alcohols";"1";"recommended";"100";"70 – 125";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
