sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Benzaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"0.1";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"2";"questionable";"0.1";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; may dissolve ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate Butyrate";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"0.1";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"60 – 70";"";"~7pH; permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"70 – 90";"";"immersed, cyclic immersion";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"100";"90 – 330";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended; discolored, ";"100";"330 – 354";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"1";"recommended";"0.1";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"benzaldehyde";"benzenecarboxaldehyde";"100-52-7";"C7H6O";"aldehydes";"3";"not recommended; swollen";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
