sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Formaldehyde";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"51";"Polysulfone";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"3";"not recommended; weight gain";"40";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"52";"Polysulfone";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"3";"not recommended";"40";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"53";"Polyvinyl Chloride (PVC)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"40";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"54";"Rubber, Butyl (BR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"10";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"55";"Rubber, Butyl (BR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"56";"Rubber, Butyl (BR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"3";"not recommended";"40";"150 – 175";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"57";"Rubber, Natural (NR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"10";"70 – 150";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"58";"Rubber, Natural (NR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"2";"questionable";"40";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"59";"Rubber, Natural (NR)";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"3";"not recommended; swollen not recommended";"40";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"60";"Vinyl Ester Resins";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"100";"70 – 150";"";"up to stable temperature";"7";"";"";"";"";"";"";"";"";"";""
"61";"Wood";"";"formaldehyde";"methanal";"";"50-00-0";"CH2O";"aldehydes";"1";"recommended";"10 – 90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
