sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Furfural";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended; disintegrated";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"1";"recommended";"5";"70";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"1";"recommended";"5";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended";"50";"75";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"2";"questionable";">10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Fluororubber";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended";"100";"90 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Glass, Chemical";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Phenolic Resins, Asbestos-Reinforced";"";"furfural";"2-furaldehyde";"1998-01-01";"C5H4O2";"aldehydes";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
