sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ethyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Carbon-Graphite Composites";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"50 – 60";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Carbon-Graphite Composites";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"130";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorinated Polyvinyl Chloride (CPVC)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"any";"0 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Glass Fiber- Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"100 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"any";"0 – 400";"<1";"";"10";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Fluororubber";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"0 – 60";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Phenolic Resins, Asbestos-Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";">10";"50 – 75";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyethylene (PE)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polymethyl Methacrylate (PMMA)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"2";"questionable";"100";"60 – 150";"<6";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polypropylene (PP)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"150 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinyl Chloride (PVC)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Polyvinylidene Fluoride (PVDF)";"Kynar";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";"100";"70 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Natural (NR)";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Vinyl Ester Resins";"";"ethyl chloride";"chloroethane";"1975-11-03";"C2H5Cl";"alkyl halides";"1";"recommended";">10";"50 – 75";"";"";"7";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
