sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Methyl chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"3";"not recommended";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"1";"recommended";"100";"35";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"1";"recommended";"100";"35";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"2";"questionable";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"2";"questionable; over 3 years";">10";"50 – 75";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"3";"not recommended";">10";"75 – 300";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Resin, Glass Fiber- Reinforced";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Fluororubber";"";"methyl chloride";"chloromethane";"74-87-3";"CH3Cl";"alkyl halides";"3";"not recommended; swollen";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
