sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Butylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended";"100";"70 – 90";"";"immersed, cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"2";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended";"100";"90 – 150";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"3";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended; discolored, ";"100";"150 – 175";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"4";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended";"100";"200 – 275";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"5";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended";"100";"275 – 302";"";"no water, 150°C (302°F)";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"6";"Perfluoroalkoxy Resins";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended; steady state reached in one week exposure";"100";"32 – 150";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"7";"Perfluoroalkoxy Resins";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"2";"questionable; weight gain, strength loss";"100";"150 – 175";"";"";"1, 22";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyesters, Glass Fiber-Reinforced";"";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"3";"not recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"1";"recommended";"100";"0 – 200";"<6";"";"11";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyvinylidene Fluoride (PVDF)";"Kynar";"butylamine";"1-butanamine";"109-73-9";"C4H11N";"amines";"3";"not recommended; n-butylamine not recommended 21-52°C (70-126°F)";"100";"60 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
