sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Diethylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"1";"recommended; immersed not recommended";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"1";"recommended";"100";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Phenolic Resins, Asbestos-Reinforced";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"3";"not recommended; Haveg 61 recommended ";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Polyethylene (PE)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"2";"questionable";"100";"70 – 125";"";"plasticizer";"1, 8";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polypropylene (PP)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polypropylene (PP)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"3";"not recommended";"100";"125 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyvinylidene Fluoride (PVDF)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"1";"recommended";"100";"60 – 70";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinylidene Fluoride (PVDF)";"diethylamine";"N-ethylethanamine";"109-89-7";"C4H11N";"amines";"2";"questionable";"100";"70 – 150";"";"";"1, 23";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
