sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dimethylamine";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"dimethylamine";"liquid";"124-40-3";"C2H7N";"amines";"1";"recommended";"100";"32 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"1";"recommended";"5";"130";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorosulfonated Polyethylene";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"32 – 70";"";"6.88°C (44.38°F)";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorosulfonated Polyethylene";"";"dimethylamine";"liquid";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"70 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Epoxy Resin, Glass Fiber- Reinforced";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"any";"0 – 200";"<12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"8";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"any";"200 – 400";"";"loss of mechanical properties";"10";"";"";"";"";"";"";"";"";"";"";""
"9";"Fluororubber";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Polychloroprene";"";"dimethylamine";"liquid";"124-40-3";"C2H7N";"amines";"2";"questionable";"100";"-135.4 – 44.6";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Polyesters, Glass Fiber-Reinforced";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"1";"recommended";"4";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Polyesters, Glass Fiber-Reinforced";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"60";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"1";"recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"Kynar";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"16";"Polyvinylidene Fluoride (PVDF)";"";"dimethylamine";"";"124-40-3";"C2H7N";"amines";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";""
"17";"Rubber, Butyl (BR)";"";"dimethylamine";"liquid";"124-40-3";"C2H7N";"amines";"2";"questionable";"100";"70 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Rubber, Natural (NR)";"";"dimethylamine";"liquid";"124-40-3";"C2H7N";"amines";"2";"questionable";"100";"25 – 150";"";"liquid";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
