sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Dimethylaniline";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"dimethylaniline";"amines";"1";"recommended";"100";"70 – 90";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"dimethylaniline";"amines";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"dimethylaniline";"amines";"1";"recommended";"100";"70 – 80";">12";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Nylon";"";"dimethylaniline";"amines";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Polyphenylene Sulfide (40% Glass-Filled)";"Fortron PPS";"dimethylaniline";"amines";"1";"recommended";"100";"0 – 200";"<1";"";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Polyvinylidene Fluoride (PVDF)";"Kynar";"dimethylaniline";"amines";"1";"recommended";"100";"60 – 70";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Polyvinylidene Fluoride (PVDF)";"";"dimethylaniline";"amines";"2";"questionable";"100";"70 – 100";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyvinylidene Fluoride (PVDF)";"";"dimethylaniline";"amines";"3";"not recommended";"100";"100 – 285";"";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
