sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Guanidine nitrate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"test note";"reference";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Concrete";"guanidine nitrate";"amines";"1";"recommended";">10";"60 – 70";"~7pH; with ammonia also";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Glass, Chemical";"guanidine nitrate";"amines";"1";"recommended";"10 – 90";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Polyethylene (PE)";"guanidine nitrate";"amines";"1";"recommended";">10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Wood";"guanidine nitrate";"amines";"1";"recommended";"10 – 90";"70 – 150";"ignites when dry";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
