sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Nitrobenzene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; disintegrated ";"100";"60 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Cellulose Acetate";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; softened, swollen, warped";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Cellulose Acetate Butyrate";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended; disintegrated";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorinated Polyvinyl Chloride (CPVC)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorosulfonated Polyethylene";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Concrete";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"60 – 70";"";"~7pH; permeable";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Epoxy Cements";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"1";"68";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"1";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Cements";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"3";"not recommended";"100";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"12";"Ethylene Tetrafluoroethylene Copolymer (ETFE)";"Teflon; Hostaflon; Fluon";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"any";"0 – 375";">12";"";"10";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"nitrobenzene";"";"98-95-3";"C6H5NO2";"aromatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1, 22";"";"";"";"";"";"";"";"";"";"";""
