sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Toluene";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; tensile modulus -19%, >12 months";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"125 – 160";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Acetal Resins (Polyoxymethylene)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; strength loss ";"100";"160 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; disintegrated ";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; softened; swollen";"100";"60 – 70";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; softened; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"toluene";"methylbenzene";"vapor & condensate; petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; recommended";"100";"120";"";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"toluene";"methylbenzene";"petroleum product, vapor";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"200";"";"";"16";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"toluene";"methylbenzene";"vapor & reflux; petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"230";"";"";"16";"";"";"";"";"";"";"";"";"";""
"11";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"12";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"120";"";"";"16";"";"";"";"";"";"";"";"";"";""
"13";"Chlorinated Polyvinyl Chloride (CPVC)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1, 20";"";"";"";"";"";"";"";"";"";""
"14";"Chlorosulfonated Polyethylene";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"15";"Concrete";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"60 – 70";"";"permeable";"1";"";"";"";"";"";"";"";"";"";""
"16";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";">10";"75 – 150";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"17";"Epoxy Resin, Glass Fiber- Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 100";"";"";"1, 19";"";"";"";"";"";"";"";"";"";""
"18";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 90";"";"cyclic immersion";"1";"";"";"";"";"";"";"";"";"";""
"19";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable";"100";"200 – 230";"";"";"1";"";"";"";"";"";"";"";"";"";""
"20";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable; strength loss ";"100";"230 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"21";"Fluororubber";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable; softened; swollen; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"22";"Furan Laminates";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 80";"[>12]";"";"1";"";"";"";"";"";"";"";"";"";""
"23";"Furan Laminates";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"175 – 200";"[";"";"1";"";"";"";"";"";"";"";"";"";""
"24";"Furfuryl Alcohol Resin, Asbestos-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";""
"25";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 212";">12";"";"1";"";"";"";"";"";"";"";"";"";""
"26";"Glass, Chemical";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"27";"Nylon";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"28";"Nylon";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; weight loss";"100";"150 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";""
"29";"Perfluoroalkoxy Resins";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; steady state reached in one week exposure";"100";"32 – 212";"<1";"";"1, 22";"";"";"";"";"";"";"";"";"";""
"30";"Perfluoroalkoxy Resins";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; weight gain, strength loss";"100";"212 – 250";"";"";"1, 22";"";"";"";"";"";"";"";"";"";""
"31";"Phenolic Resins, Asbestos-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"32";"Phenolic Resins, Asbestos-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"33";"Phenolic Resins, Non-asbestos";"Haveg 41-NA";"toluene";"methylbenzene";"liquid; petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended; slight weight/volume change";"100";"212";"";"90 days";"3";"";"";"";"";"";"";"";"";"";""
"34";"Polychloroprene";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"60 – 70";"12]";"";"1";"";"";"";"";"";"";"";"";"";""
"35";"Polychloroprene";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"36";"Polyesters, Glass Fiber-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"37";"Polyesters, Glass Fiber-Reinforced";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended";"100";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";""
"38";"Polyesters, Glass Fiber-Reinforced";"";"toluene";"methylbenzene";"petroleum product, vapor";"108-88-3";"C7H8";"aromatics";"1";"recommended";"100";"125 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";""
"39";"Polyethylene (PE)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; swollen; weight gain";"100";"70 – 150";"<6";"";"1, 21";"";"";"";"";"";"";"";"";"";""
"40";"Polymethyl Methacrylate (PMMA)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"3";"not recommended; may dissolve";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"41";"Polyphenylene Sulfide, Glass Fiber-Reinforced";"Ryton PPS R-4";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable; weight change, attacked";"100";"200";"<6";"";"18";"";"";"";"";"";"";"";"";"";""
"42";"Polypropylene (PP)";"";"toluene";"methylbenzene";"petroleum product";"108-88-3";"C7H8";"aromatics";"2";"questionable; swollen; weight gain";"100";"60 – 125";"<6";"intermittent exposure";"1";"";"";"";"";"";"";"";"";"";""
