sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Ammonium hydroxide";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; discolored";"100";"70 – 175";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; weight gain >12 months";"30";"70 – 80";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"2";"questionable";"30";"80 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended; softened, weight gain, surface attacked";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"3";"not recommended; softened; weight gain";"10";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";"";""
"7";"Ceramics";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended; recommended 1%, 23-50°C (73-122°F)";"10";"70 – 125";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Ceramics";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"20 – 30";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"<30";"75";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"10";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"ammonium hydroxide";"ammonia solution";"1336-21-6";"H5NO";"bases";"1";"recommended";"10";"175";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
