sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Magnesium carbonate";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"reference";"";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"2";"Cellulose Acetate Butyrate";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"2";"questionable; weight gain";"";"60 – 70";"<1";"1";"";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"magnesium carbonate";"saturated";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"120";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"250";"";"16";"";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"250";"<6";"16";"";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 212";"";"1, 20";"";"";"";"";"";"";"";"";"";"";"";""
"7";"Epoxy Resin, Glass Fiber- Reinforced";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 250";"";"1, 24";"";"";"";"";"";"";"";"";"";"";"";""
"8";"Polyesters, Glass Fiber-Reinforced";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"20";"70 – 175";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"9";"Polyesters, Glass Fiber-Reinforced";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 250";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"10";"Polyethylene (PE)";"";"magnesium carbonate";"saturated";"546-93-0";"CMgO3";"salts";"1";"recommended";"10";"70 – 150";"";"1, 21";"";"";"";"";"";"";"";"";"";"";"";""
"11";"Polymethyl Methacrylate (PMMA)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"12";"Polypropylene (PP)";"";"magnesium carbonate";"saturated";"546-93-0";"CMgO3";"salts";"1";"recommended";"10";"60 – 150";"<6";"1";"";"";"";"";"";"";"";"";"";"";"";""
"13";"Polypropylene (PP)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 212";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"14";"Polyvinyl Chloride (PVC)";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 150";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"15";"Polyvinylidene Fluoride (PVDF)";"Kynar";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 285";"";"1, 17";"";"";"";"";"";"";"";"";"";"";"";""
"16";"Styrene Acrylonitrile Copolymer (SAN)";"";"magnesium carbonate";"crystal, powders, solids";"546-93-0";"CMgO3";"salts";"1";"recommended";"100";"70 – 125";"";"1";"";"";"";"";"";"";"";"";"";"";"";""
"17";"Vinyl Ester Resins";"";"magnesium carbonate";"";"546-93-0";"CMgO3";"salts";"1";"recommended";"any";"70 – 180";"";"7";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
