sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Antimony chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Acetal Resins (Polyoxymethylene)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"4";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"5";"Bisphenol A Fumarate Unsaturated Polyester";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorinated Polyvinyl Chloride (CPVC)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"3";"not recommended";"100";"70 – 212";"";"";"1, 2";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Chlorosulfonated Polyethylene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Concrete";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"3";"not recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Glass Fiber- Reinforced";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"2";"questionable";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"11";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed; pentachloride";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Fluororubber";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"13";"Fluororubber";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"14";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"15";"Glass, Chemical";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 250";"";"also pentachloride";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Nylon";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"3";"not recommended";"10";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Polychloroprene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Polychloroprene";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Polyesters, Glass Fiber-Reinforced";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended; resists pentachloride to 27°C (81°F) only";">10";"70 – 100";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Polyesters, Glass Fiber-Reinforced";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"50";"100 – 200";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyethylene (PE)";"antimony chloride";"antimony trichloride";"saturated";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
"22";"Polymethyl Methacrylate (PMMA)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"23";"Polypropylene (PP)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"60 – 212";"<6";"";"1";"";"";"";"";"";"";"";"";"";"";""
"24";"Polyvinyl Chloride (PVC)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"25";"Polyvinylidene Fluoride (PVDF)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"26";"Rubber, Butyl (BR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"27";"Rubber, Butyl (BR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"no water";"1";"";"";"";"";"";"";"";"";"";"";""
"28";"Rubber, Natural (NR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"90";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"29";"Rubber, Natural (NR)";"antimony chloride";"antimony trichloride";"";"10025-91-9";"Cl3Sb";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Corrosion Survey Database (COR•SUR) © 2002 NACE International";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
