sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Barium chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";"";""
"1";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"2";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"3";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"<20";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"4";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"5";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"<25";"200";"<6";"";"16";"";"";"";"";"";"";"";"";"";"";""
"6";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"250";"";"";"16";"";"";"";"";"";"";"";"";"";"";""
"7";"Chlorosulfonated Polyethylene";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"8";"Concrete";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"9";"Epoxy Cements";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"25";"68";"<6";"";"5";"";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Cements";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"25";"140";"";"";"5";"";"";"";"";"";"";"";"";"";"";""
"11";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended; over 3 years";">10";"80 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"12";"Epoxy Resin, Glass Fiber- Reinforced";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"20";"70 – 150";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"13";"Epoxy Resin, Glass Fiber- Reinforced";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"40 – 50";"70 – 212";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"14";"Epoxy Resin, Glass Fiber- Reinforced";"";"barium chloride";"saturated";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 250";"";"";"1, 19";"";"";"";"";"";"";"";"";"";"";""
"15";"Fluorinated Ethylene Propylene Copolymer (FEP)/ Polytetrafluoroethylene (PTFE)";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 150";"";"cyclic immersion; immersed";"1";"";"";"";"";"";"";"";"";"";"";""
"16";"Fluororubber";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"100";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"17";"Furfuryl Alcohol Resin, Glass Fiber-Reinforced";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";">10";"70 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";"";""
"18";"Glass, Chemical";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"19";"Nylon";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10";"60 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"20";"Nylon";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";"10 – 60";"70 – 175";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"21";"Polyesters, Glass Fiber-Reinforced";"";"barium chloride";"";"10361-37-2";"BaCl2";"salts";"1";"recommended";">10";"50 – 250";"";"";"1";"";"";"";"";"";"";"";"";"";"";""
"22";"Polyethylene (PE)";"";"barium chloride";"saturated";"10361-37-2";"BaCl2";"salts";"1";"recommended";"60";"70 – 150";"";"";"1, 21";"";"";"";"";"";"";"";"";"";"";""
