sep=;
"Title: Corrosion Survey Database (COR•SUR)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Table: Copper chloride";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"DOWNLOAD SHOWS ONLY THE DISPLAYED DATA, UP TO 50 ROWS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"No.";"material or substance name";"material synonym";"exposure medium";"exposure medium synonym";"exposure medium note";"exposure medium CAS RN";"exposure medium formula";"exposure medium class";"NACE resistance rating (unitless)";"resistance note";"conc. (%)";"temp. (°F)";"exposure time (mo (30))";"test note";"reference";"";"";"";"";"";"";"";"";"";""
"1";"Acetal Resins (Polyoxymethylene)";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";"10 – 70";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"2";"Acrylonitrile Butadiene Styrene Polymer (ABS)";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";"100";"70 – 150";"";"";"1";"";"";"";"";"";"";"";"";"";""
"3";"Bisphenol A Fumarate Unsaturated Polyester";"fiberglass reinforced polyester (FRP)";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";">10";"75 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"4";"Carbon-Graphite Composites";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";"10 – 90";"70 – 212";"";"";"1";"";"";"";"";"";"";"";"";"";""
"5";"Cellulose Acetate";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"3";"not recommended; weight gain";"70";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"6";"Cellulose Acetate Butyrate";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"2";"questionable; weight gain";"100";"60 – 70";"<1";"";"1";"";"";"";"";"";"";"";"";"";""
"7";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (190 + 47)";"HET acid polyester-Polifos 190 + 47 phr styrene";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"8";"Chlorendic Unsaturated Polyester, Glass Fiber-Reinforced (869 + 44.5)";"HET acid polyester-Polifos 869 + 44.5 phr styrene";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";"any";"250";"<6";"";"16";"";"";"";"";"";"";"";"";"";""
"9";"Chlorosulfonated Polyethylene";"";"copper chloride";"cuprous chloride";"saturated";"7758-89-6";"ClCu";"salts";"1";"recommended";"10 – 60";"60 – 70";"";"";"1";"";"";"";"";"";"";"";"";"";""
"10";"Epoxy Resin, Asbestos/ Glass Fiber- Reinforced";"";"copper chloride";"cuprous chloride";"";"7758-89-6";"ClCu";"salts";"1";"recommended";">10";"75 – 250";">12";"";"1";"";"";"";"";"";"";"";"";"";""
